Uncertainty source,Boston/T,Boston/R,Cornell/T,Cornell/A,Europa/T,Europa/A,Kentucky/Q,STJU/T,STJU/A,Washington/T,Washington/A
Input clock stability,0,0,0,0,0,0,0,0,0,0,0
Input clock upconversion factor,2,2,2,2,2,2,2,2,2,2,2
Time correction,0,0,1,1,0,0,0,0,0,0,0
Cluster time assignment,1,1,0,0,1,1,0,1,1,1,1
In-fill gain amplitude,3,1,4,2,23,22,4,4,6,23,21
In-fill gain time constant,10,3,10,4,0,0,2,8,2,0,0
STDP gain amplitude,0,0,0,0,,,0,0,0,1,0
STDP gain time constant,0,0,0,0,,,0,0,0,0,0
Residual gain variation,12,15,16,16,33,17,0,34,14,15,37
Pileup covariance matrix,0,0,0,0,0,0,15,0,0,0,0
Pileup amplitude,11,11,1,0,6,13,0,11,12,7,13
Pileup cluster time model,5,5,0,0,22,106,0,7,53,0,0
Pileup cluster energy model,5,7,0,0,,,0,,,0,0
Pileup phase,0,0,0,0,0,0,0,0,0,6,43
Pileup time/energy bias,0,0,0,0,0,0,0,0,0,0,0
Pileup rate error,,,22,1,,,0,,,0,0
Unseen pileup,1,0,2,3,0,0,0,8,2,10,10
Triple pileup correction,1,1,0,0,,,0,3,5,1,1
Artificial dead time,,,0,0,13,21,0,0,0,0,0
Pileup simulation,0,0,0,0,0,0,10,0,0,0,0
Muon loss covariance matrix,0,0,0,0,0,0,0,0,0,0,0
Muon loss time cuts,0,0,1,1,0,0,0,1,1,0,0
Muon loss energy cuts,0,0,0,0,0,0,0,1,1,0,0
Muon loss statistics,0,0,1,1,0,0,0,0,0,0,0
Muon loss detection efficiency,0,0,1,1,0,0,0,0,0,0,0
Muon loss scale fixed,0,3,0,0,0,0,0,0,0,0,0
Higher-order coincidences,0,0,0,0,1,1,3,1,1,0,0
CBO frequency change,23,1,12,14,11,12,16,12,13,15,18
CBO decoherence envelope model,4,9,8,2,,,1,3,3,7,10
CBO time constants,23,22,36,42,,,,,,,
CBO time constant fixed,0,8,0,0,0,0,0,0,0,0,0
Time randomization seed,24,24,6,5,26,24,0,20,17,14,13
Vertical drift,0,0,0,0,0,0,200,0,0,0,0
Muon precession period,0,2,0,0,0,0,0,0,0,0,0
Muon lifetime,0,0,0,0,0,0,0,0,0,0,0
